driverId,week,hours-logged,miles-logged
64,23,77,1300
29,35,77,1400
61,18,68,1800
68,37,59,200
17,25,61,800
105,49,67,700
52,28,51,1800
60,48,74,3700
13,38,64,600
43,18,53,1700
51,11,68,2700
31,51,59,600
53,30,65,4000
107,23,74,800
107,29,75,700
36,43,63,200
52,15,51,2000
36,34,76,100
67,52,61,900
53,18,51,400
39,3,55,2500
19,35,77,2500
93,8,62,2000
42,30,53,1100
68,6,74,1100
54,49,60,3300
20,9,52,300
78,1,66,1500
64,6,76,3100
102,9,51,2800
102,1,80,2700
74,51,64,3200
33,49,51,200
64,35,68,800
82,10,52,3600
45,35,66,1000
104,11,76,2900
24,34,69,3100
31,33,51,300
103,31,56,600
90,44,73,1000
23,5,71,700
105,23,63,700
57,15,69,3000
16,26,50,500
94,37,78,600
94,32,77,1700
27,21,58,3700
41,13,69,3600
43,50,74,200
19,46,71,2000
10,1,74,800
105,18,65,1500
61,9,61,800
105,32,75,3700
46,32,78,600
23,32,58,1900
97,12,52,500
90,18,62,1600
109,11,51,300
64,17,80,0
109,41,67,3700
89,27,61,200
52,43,65,1400
10,23,69,3400
87,41,59,1800
16,4,70,600
91,26,53,2000
37,45,66,1200
67,43,71,3500
44,6,55,3100
99,25,74,2700
78,34,73,3600
107,21,67,2500
36,45,64,1800
77,45,60,3300
59,42,79,3700
43,21,58,1500
107,38,58,3400
76,26,75,2500
38,47,69,3900
49,14,72,1400
47,11,59,200
52,1,58,2800
18,17,76,200
34,36,80,3200
88,46,56,600
79,44,55,4000
84,17,74,1400
85,25,61,3900
106,28,58,700
25,14,73,2200
29,24,57,1600
83,16,51,0
41,34,58,3400
50,32,72,2000
96,13,62,1300
19,12,67,500
55,44,68,2000
24,39,56,500
81,15,52,4000
62,23,65,2500
54,41,64,400
72,30,66,2800
94,40,58,2300
68,19,75,2800
69,23,78,1400
33,2,69,3300
65,15,70,3500
84,20,76,1500
84,22,57,2400
16,26,66,1900
66,38,68,3400
20,27,59,3600
105,35,77,1200
77,41,56,1200
48,47,77,2900
62,47,79,3900
41,48,68,1100
42,18,73,1500
78,20,67,2900
31,23,50,600
28,45,59,1300
67,2,50,1400
95,23,66,3400
12,25,64,1100
60,30,65,2200
11,50,66,400
61,24,79,2700
42,47,56,2900
57,48,51,400
22,49,74,1300
65,41,77,600
107,6,77,1300
96,29,68,500
75,4,76,2800
69,23,71,1600
63,30,66,2600
97,7,69,3100
34,37,67,1400
21,9,71,2700
57,26,62,3800
13,26,58,900
74,26,51,1400
58,6,77,1800
31,46,67,3600
100,20,53,3700
59,36,60,2000
84,1,65,3400
44,25,78,1700
88,41,65,3800
81,3,63,3000
104,2,79,3600
76,50,73,3100
64,51,52,700
41,36,59,3300
15,17,52,3200
60,6,77,4000
35,49,62,2200
36,33,70,100
95,9,59,2700
39,17,55,3300
35,30,57,1300
28,30,61,1000
26,13,64,3500
91,20,73,100
49,50,71,2400
19,41,70,2800
38,46,53,1900
34,32,57,2300
87,50,71,2300
93,49,53,3700
93,17,56,2500
94,10,75,2800
105,25,51,400
99,9,66,1900
49,24,50,3500
100,20,77,3000
52,34,65,1500
26,27,64,1800
20,31,78,3500
66,5,58,2600
40,22,76,3600
89,2,53,100
56,42,55,2200
56,4,64,1000
72,45,73,100
46,7,70,3400
29,16,60,2100
93,29,58,2500
82,12,75,2000
107,15,79,1800
85,23,56,1200
36,48,50,0
42,17,55,500
45,29,61,1100
11,7,66,1600
27,20,52,1000
18,8,80,3100
41,49,77,1000
109,40,69,3700
102,16,70,3000
54,33,50,3600
38,26,63,1600
102,15,77,2800
14,11,75,700
66,33,60,3500
10,36,61,800
36,45,60,2200
69,40,68,3300
59,27,62,3100
45,24,76,900
102,41,53,3100
12,38,79,3600
60,21,66,800
104,43,55,1700
23,7,54,2100
11,4,62,3200
19,17,53,1900
26,49,74,3300
17,47,77,1500
67,38,71,600
21,51,76,3500
87,26,74,1400
21,47,78,1400
33,28,51,1000
40,4,76,500
32,7,58,1300
44,17,73,1100
50,38,65,0
53,14,64,1800
10,3,58,1400
53,49,66,3200
109,46,78,1200
52,18,50,2600
15,12,72,3000
44,22,62,3200
77,14,58,700
33,19,64,3800
27,38,67,400
76,28,51,3700
76,18,65,600
64,22,79,3800
75,39,56,2900
90,46,76,100
93,17,53,2100
73,22,73,1600
46,36,58,3800
93,38,59,3300
56,30,60,700
57,32,60,2900
39,31,72,700
30,17,63,1800
102,4,76,2600
79,52,77,2800
94,19,60,3200
105,21,63,3200
27,1,65,3000
100,51,78,0
87,17,73,3600
53,37,78,3700
104,39,53,3200
61,30,50,2600
69,23,50,1700
82,47,51,1600
12,47,59,2800
37,9,62,800
28,4,78,3900
57,5,56,1900
43,3,51,3900
96,43,61,3200
54,52,67,1400
64,29,73,3500
66,51,51,2800
35,29,50,1300
10,38,70,500
47,44,65,3000
50,38,51,1500
17,32,62,0
30,17,63,2700
51,28,71,300
94,43,69,1600
40,2,63,2200
81,42,79,1300
71,18,59,2200
21,41,53,600
95,3,79,2400
47,35,53,2000
86,21,66,1800
41,25,74,3200
90,51,76,300
34,14,76,300
58,17,67,1100
86,34,58,1800
14,51,76,400
54,11,74,900
18,52,52,800
86,21,50,1100
96,48,66,1400
67,39,75,2500
95,19,53,400
82,9,56,3700
52,36,54,2600
68,6,70,2800
79,36,63,0
65,38,75,2300
35,40,78,1900
36,47,63,1400
26,35,54,2300
109,9,57,3500
59,46,66,1700
90,11,68,3000
72,36,66,2700
107,27,58,2000
65,29,60,3500
20,14,61,3400
84,30,61,400
98,46,52,2500
58,37,55,500
30,38,73,600
57,8,55,600
33,4,77,2700
56,13,59,2700
102,15,78,2100
59,36,71,1300
63,34,69,2800
53,38,67,0
38,34,75,100
103,6,64,2400
50,18,63,0
102,17,77,2000
53,24,62,100
75,16,70,2100
89,43,72,4000
14,22,52,500
11,45,58,2200
65,50,66,2600
29,14,61,1200
26,24,59,3800
29,19,64,3200
12,40,66,800
86,46,66,100
89,36,55,3800
16,23,56,3900
27,24,76,300
31,9,56,1600
58,46,73,3700
100,12,59,800
65,20,62,3800
83,39,60,600
83,35,57,2900
86,12,56,0
31,32,73,1000
88,16,63,1600
19,23,60,900
53,35,60,1500
54,40,65,2100
44,19,55,2200
101,28,70,0
52,19,71,2300
27,38,66,3900
14,7,76,900
80,42,77,1300
50,34,51,200
44,7,69,2000
39,32,55,2100
36,46,61,1800
24,51,51,0
99,26,51,2900
95,29,75,2700
75,11,78,4000
43,33,64,2100
53,33,64,1500
25,46,50,1800
94,34,66,2000
95,3,76,1300
96,41,53,100
74,42,77,3300
61,29,68,2800
107,12,54,4000
33,11,71,1200
40,51,64,2200
17,44,56,3600
19,1,75,3900
50,50,53,1700
84,46,64,2000
13,31,52,1700
25,31,66,1500
94,39,60,3200
104,43,51,2400
52,12,57,2600
90,9,79,500
87,42,64,1300
98,27,80,1500
60,33,60,3600
96,2,76,1200
107,11,64,3300
94,5,75,1200
24,34,53,1400
14,24,59,2500
10,27,65,1200
94,43,66,800
95,47,51,3400
60,33,68,400
58,35,75,3700
106,29,75,3400
59,14,59,3200
81,9,79,2000
103,11,62,3700
80,29,64,900
73,3,80,1400
59,28,79,1100
59,38,62,0
60,10,67,3000
96,4,68,1200
83,7,66,1300
32,8,64,500
28,12,64,2800
67,24,58,1300
65,6,63,1300
20,16,58,900
49,40,71,1200
45,27,52,2100
66,52,69,900
46,9,69,3900
35,30,60,2200
61,9,70,2000
15,36,52,4000
31,33,76,600
45,21,76,800
65,49,70,3400
35,12,78,1100
107,38,55,2400
11,50,79,3300
43,4,80,800
60,17,80,3400
104,6,70,2100
27,34,56,3200
83,22,68,3900
58,36,74,2300
41,36,55,3400
15,4,72,3700
66,5,75,3100
40,12,69,400
17,41,61,100
73,51,61,3300
34,29,55,3200
85,12,57,400
48,2,75,700
21,14,76,1500
54,48,71,400
38,23,78,3300
47,7,69,1400
34,36,73,1500
76,30,60,2500
62,10,60,2500
79,15,55,1300
102,5,64,600
25,24,64,3900
76,19,72,500
23,46,69,2100
32,50,75,3800
26,23,65,2600
28,43,58,1200
105,15,66,100
38,24,79,500
47,34,53,3500
23,31,74,1900
96,7,58,3700
48,13,76,1800
107,52,78,100
32,38,67,1000
101,31,50,1900
43,15,52,100
64,48,68,600
93,51,66,1200
54,2,57,3200
105,29,80,1100
17,18,80,3700
12,41,63,2500
106,51,52,2100
71,26,50,4000
103,11,59,3200
48,20,69,2300
26,2,80,1000
77,28,77,1800
76,29,67,2400
12,37,80,2800
70,44,66,2300
100,7,77,3500
21,18,69,700
74,24,75,300
40,49,55,2900
25,38,75,2900
24,22,78,1500
17,20,75,1400
70,51,55,3500
88,6,57,3200
14,33,61,3300
71,8,64,1700
93,30,80,4000
22,37,66,2700
70,13,80,300
41,34,71,3900
82,23,79,2100
53,25,79,3000
12,39,52,0
21,18,73,1200
48,14,50,3000
16,2,53,1600
25,24,54,3800
19,42,53,0
90,29,73,2200
81,12,57,2600
28,49,59,200
16,34,52,2400
54,32,64,3500
38,47,55,3900
107,8,67,3900
21,2,78,3000
62,34,64,700
89,50,58,1000
98,29,76,2900
81,38,68,600
15,11,67,3300
25,4,80,2700
76,49,71,1500
68,3,67,2400
56,1,70,3500
15,34,57,500
65,16,79,3500
48,28,64,2300
72,10,68,1600
35,19,52,900
14,36,74,2500
51,25,51,1200
75,36,58,0
78,20,62,400
57,5,51,3000
95,33,68,500
45,42,65,200
79,20,75,2700
28,41,58,1400
32,51,79,500
109,13,61,2300
92,7,64,1700
19,51,50,2500
79,50,78,2100
97,15,66,3700
99,49,76,1400
48,23,70,500
21,46,70,200
50,46,58,500
49,17,72,1900
88,26,63,2700
105,1,74,3700
31,36,75,1500
40,44,78,2600
63,44,52,1900
85,43,79,1600
107,14,77,1500
69,17,65,3700
74,29,68,2100
72,16,68,800
67,42,55,3700
71,17,62,3100
23,36,64,1200
19,16,58,3600
78,7,68,2700
54,23,80,2300
28,33,72,3800
97,7,62,2600
20,1,57,300
74,51,76,400
105,28,78,1900
11,48,61,4000
10,37,60,2800
74,23,61,1700
78,27,78,2100
12,42,76,1500
17,26,56,2900
97,32,64,3200
83,46,51,2700
105,35,60,200
76,4,63,2000
35,21,57,2000
11,45,52,700
76,1,59,4000
43,44,71,800
104,22,66,100
90,9,65,2300
87,3,71,1700
59,41,77,700
35,7,79,3800
86,2,74,0
43,25,52,3000
80,10,80,1000
89,29,75,400
15,31,68,700
90,36,63,400
108,7,71,800
98,29,80,3200
101,2,50,4000
106,10,76,2000
